"INTERNETID","TRACKINGNO","CA_TYPE","SHIP_DATE"
"100087076","","   ","2018-10-03 00:00:00"
"100087077","9449010200883916602842","USP","2018-10-05 00:00:00"
"100087078","","   ","2018-10-03 00:00:00"
"100087079","","   ","2018-10-03 00:00:00"
"100087080","","   ","2018-10-03 00:00:00"
"100087081","","   ","2018-10-03 00:00:00"
"100087082","9449010200881857231053","USP","2018-10-05 00:00:00"
"100087083","","   ","2018-10-03 00:00:00"
"100087084","","   ","2018-10-03 00:00:00"
"100087085","","   ","2018-10-03 00:00:00"
"100087086","9449010200883916603863","USP","2018-10-05 00:00:00"
"100087087","9449010200830053748278","USP","2018-10-05 00:00:00"
"100087088","9449010200828857399437","USP","2018-10-05 00:00:00"
"100087089","","   ","2018-10-03 00:00:00"
"100087090","9449010200793876423688","USP","2018-10-05 00:00:00"
"100087091","","   ","2018-10-03 00:00:00"
"100087092","9449010200793875781628","USP","2018-10-05 00:00:00"
"100087093","9449010200882857430538","USP","2018-10-05 00:00:00"
"100087094","","   ","2018-10-03 00:00:00"
"100087095","","   ","2018-10-03 00:00:00"
"100087096","9449010200881857231725","USP","2018-10-05 00:00:00"
"100087097","9449010200882857760413","USP","2018-10-05 00:00:00"
"100087098","","   ","2018-10-03 00:00:00"
"100087099","9449010200828857708307","USP","2018-10-05 00:00:00"
"100087101","9449010200829857678379","USP","2018-10-05 00:00:00"
"100087101","","   ","2018-10-03 00:00:00"
"100087102","","   ","2018-10-03 00:00:00"
"100087103","","   ","2018-10-03 00:00:00"
"100087104","9449010200828857720217","USP","2018-10-05 00:00:00"
"100087105","","   ","2018-10-03 00:00:00"
"100087106","9449010200828858766344","USP","2018-10-08 00:00:00"
"100087107","9449010200793876139954","USP","2018-10-05 00:00:00"
"100087108","9449010200882857896365","USP","2018-10-05 00:00:00"
"100087109","","   ","2018-10-03 00:00:00"
"100087110","9449010200829857488480","USP","2018-10-05 00:00:00"
"100087111","","   ","2018-10-03 00:00:00"
"100087112","9449010200883916927662","USP","2018-10-05 00:00:00"
"100087113","","   ","2018-10-03 00:00:00"
"100087114","","   ","2018-10-03 00:00:00"
"100087115","","   ","2018-10-03 00:00:00"
"100087116","9449010200828857730551","USP","2018-10-05 00:00:00"
"100087117","","   ","2018-10-03 00:00:00"
"100087118","9449010200830054385885","USP","2018-10-05 00:00:00"
"100087119","","   ","2018-10-03 00:00:00"
"100087120","9449010200830054422474","USP","2018-10-05 00:00:00"
"100087121","9449010200828857718238","USP","2018-10-05 00:00:00"
"100087122","","   ","2018-10-03 00:00:00"
"100087123","9449010200882857766750","USP","2018-10-05 00:00:00"
"100087124","9449010200793877039550","USP","2018-10-08 00:00:00"
"100087125","9449010200828857720835","USP","2018-10-05 00:00:00"
"100087126","","   ","2018-10-03 00:00:00"
"100087127","","   ","2018-10-03 00:00:00"
"100087128","","   ","2018-10-03 00:00:00"
"100087129","","   ","2018-10-03 00:00:00"
"100087130","","   ","2018-10-03 00:00:00"
"100087131","9449010200793875781994","USP","2018-10-05 00:00:00"
"100087132","9449010200793875781079","USP","2018-10-05 00:00:00"
"100087133","9449010200882857428252","USP","2018-10-05 00:00:00"
"100087134","","   ","2018-10-03 00:00:00"
"100087135","","   ","2018-10-03 00:00:00"
"100087136","9449010200883916942184","USP","2018-10-05 00:00:00"
"100087137","1Z4248511223437872","UPS","2018-10-04 00:00:00"
"100087138","9449010200883916601609","USP","2018-10-05 00:00:00"
"100087139","","   ","2018-10-03 00:00:00"
"100087140","9449010200881857560924","USP","2018-10-05 00:00:00"
"100087141","9450210200883916917205","USP","2018-10-05 00:00:00"
"100087142","1Z4248510323440901","UPS","2018-10-05 00:00:00"
"100087143","9449010200830054128369","USP","2018-10-05 00:00:00"
"100087144","9449010200828857722730","USP","2018-10-05 00:00:00"
"100087145","","   ","2018-10-04 00:00:00"
"100087146","1Z4248510323440367","UPS","2018-10-05 00:00:00"
"100087147","","   ","2018-10-04 00:00:00"
"100087148","UA660023932US","USP","2018-10-09 00:00:00"
"100087149","9449010200830054011807","USP","2018-10-05 00:00:00"
"100087150","","   ","2018-10-04 00:00:00"
"100087151","","   ","2018-10-04 00:00:00"
"100087152","9449010200882857663097","USP","2018-10-05 00:00:00"
"100087153","","   ","2018-10-04 00:00:00"
"100087154","","   ","2018-10-04 00:00:00"
"100087155","9449010200882857663950","USP","2018-10-05 00:00:00"
"100087156","9449010200883916938705","USP","2018-10-05 00:00:00"
"100087157","1Z4248510323440885","UPS","2018-10-05 00:00:00"
"100087158","","   ","2018-10-04 00:00:00"
"100087159","","   ","2018-10-04 00:00:00"
"100087160","","   ","2018-10-04 00:00:00"
"100087161","9449010200828857615322","USP","2018-10-05 00:00:00"
"100087162","","   ","2018-10-04 00:00:00"
"100087163","9449010200793876020016","USP","2018-10-05 00:00:00"
"100087164","","   ","2018-10-04 00:00:00"
"100087165","9449010200883916955375","USP","2018-10-05 00:00:00"
"100087166","9449010200829857465566","USP","2018-10-05 00:00:00"
"100087167","","   ","2018-10-04 00:00:00"
"100087168","9449010200828857706785","USP","2018-10-05 00:00:00"
"100087169","9449010200828857721863","USP","2018-10-05 00:00:00"
"100087170","9449010200830054110135","USP","2018-10-05 00:00:00"
"100087171","","   ","2018-10-04 00:00:00"
"100087172","9449010200882857654477","USP","2018-10-05 00:00:00"
"100087173","9449010200883916860938","USP","2018-10-05 00:00:00"
"100087174","9449010200793876021693","USP","2018-10-05 00:00:00"
"100087175","9449010200828857705917","USP","2018-10-05 00:00:00"
"100087176","","   ","2018-10-04 00:00:00"
"100087177","9449010200881857550406","USP","2018-10-05 00:00:00"
"100087178","9449010200883916926603","USP","2018-10-05 00:00:00"
"100087179","","   ","2018-10-04 00:00:00"
"100087180","9449010200793876105638","USP","2018-10-05 00:00:00"
"100087181","","   ","2018-10-04 00:00:00"
"100087182","9449010200793876018600","USP","2018-10-05 00:00:00"
"100087183","9449010200883916838531","USP","2018-10-05 00:00:00"
"100087184","","   ","2018-10-04 00:00:00"
"100087185","","   ","2018-10-04 00:00:00"
"100087186","9449010200883916950004","USP","2018-10-05 00:00:00"
"100087187","1Z4248510323440910","UPS","2018-10-05 00:00:00"
"100087188","","   ","2018-10-04 00:00:00"
"100087189","9449010200828857717200","USP","2018-10-05 00:00:00"
"100087190","","   ","2018-10-04 00:00:00"
"100087191","","   ","2018-10-04 00:00:00"
"100087192","","   ","2018-10-04 00:00:00"
"100087193","","   ","2018-10-04 00:00:00"
"100087194","","   ","2018-10-04 00:00:00"
"100087195","","   ","2018-10-04 00:00:00"
"100087196","9449010200828857819980","USP","2018-10-05 00:00:00"
"100087197","9449010200828857772353","USP","2018-10-05 00:00:00"
"100087198","","   ","2018-10-04 00:00:00"
"100087199","9449010200793876354654","USP","2018-10-05 00:00:00"
"100087200","","   ","2018-10-04 00:00:00"
"100087201","1Z4248510323441446","UPS","2018-10-05 00:00:00"
"100087202","","   ","2018-10-04 00:00:00"
"100087203","9449010200793876351318","USP","2018-10-05 00:00:00"
"100087204","9449010200881857770927","USP","2018-10-05 00:00:00"
"100087205","9449010200882857972434","USP","2018-10-05 00:00:00"
"100087206","","   ","2018-10-04 00:00:00"
"100087207","LJ226568341US","USP","2018-10-05 00:00:00"
"100087208","9449010200881857774673","USP","2018-10-05 00:00:00"
"100087209","9449010200829857679079","USP","2018-10-05 00:00:00"
"100087210","","   ","2018-10-04 00:00:00"
"100087211","","   ","2018-10-08 00:00:00"
"100087212","9449010200881857761413","USP","2018-10-05 00:00:00"
"100087213","","   ","2018-10-04 00:00:00"
"100087214","9449010200882857868003","USP","2018-10-05 00:00:00"
"100087215","","   ","2018-10-04 00:00:00"
"100087216","9449010200881857763776","USP","2018-10-05 00:00:00"
"100087217","","   ","2018-10-05 00:00:00"
"100087218","9449010200882859874743","USP","2018-10-09 00:00:00"
"100087219","9449010200881859683126","USP","2018-10-09 00:00:00"
"100087220","9449010200828859830952","USP","2018-10-09 00:00:00"
"100087221","9449010200828859425370","USP","2018-10-08 00:00:00"
"100087222","1Z4248510323446129","UPS","2018-10-09 00:00:00"
"100087223","","   ","2018-10-05 00:00:00"
"100087224","","   ","2018-10-05 00:00:00"
"100087225","","   ","2018-10-05 00:00:00"
"100087226","","   ","2018-10-05 00:00:00"
"100087227","9449010200882859873555","USP","2018-10-09 00:00:00"
"100087228","9449010200883919182785","USP","2018-10-09 00:00:00"
"100087229","9449010200882859874576","USP","2018-10-09 00:00:00"
"100087230","1Z4248511223442428","UPS","2018-10-05 00:00:00"
"100087231","","   ","2018-10-05 00:00:00"
"100087232","","   ","2018-10-05 00:00:00"
"100087233","9449010200830056400579","USP","2018-10-09 00:00:00"
"100087234","9449010200829859589796","USP","2018-10-09 00:00:00"
"100087235","","   ","2018-10-05 00:00:00"
"100087236","9449010200828859846281","USP","2018-10-09 00:00:00"
"100087237","","   ","2018-10-05 00:00:00"
"100087238","","   ","2018-10-05 00:00:00"
"100087239","","   ","2018-10-05 00:00:00"
"100087240","","   ","2018-10-05 00:00:00"
"100087241","","   ","2018-10-05 00:00:00"
"100087242","9449010200793878440409","USP","2018-10-09 00:00:00"
"100087243","1Z4248511223442339","UPS","2018-10-05 00:00:00"
"100087244","9449010200883919103728","USP","2018-10-09 00:00:00"
"100087245","","   ","2018-10-05 00:00:00"
"100087246","","   ","2018-10-05 00:00:00"
"100087247","9449010200828859424465","USP","2018-10-08 00:00:00"
"100087248","","   ","2018-10-05 00:00:00"
"100087249","9449010200830056415702","USP","2018-10-09 00:00:00"
"100087250","9449010200882859890903","USP","2018-10-09 00:00:00"
"100087251","","   ","2018-10-05 00:00:00"
"100087252","1Z4248510323445639","UPS","2018-10-08 00:00:00"
"100087252","1Z4248510323445620","UPS","2018-10-08 00:00:00"
"100087253","9449010200882859876891","USP","2018-10-09 00:00:00"
"100087254","1Z4248510323446165","UPS","2018-10-09 00:00:00"
"100087255","9449010200793878355147","USP","2018-10-09 00:00:00"
"100087256","","   ","2018-10-05 00:00:00"
"100087257","","   ","2018-10-05 00:00:00"
"100087258","9449010200793878354898","USP","2018-10-09 00:00:00"
"100087259","9449010200828859829949","USP","2018-10-09 00:00:00"
"100087260","9449010200828859910432","USP","2018-10-09 00:00:00"
"100087261","","   ","2018-10-05 00:00:00"
"100087262","","   ","2018-10-05 00:00:00"
"100087263","9449010200828859832154","USP","2018-10-09 00:00:00"
"100087264","1Z4248510323447495","UPS","2018-10-09 00:00:00"
"100087265","1Z4248510323446692","UPS","2018-10-09 00:00:00"
"100087266","9449010200883919178795","USP","2018-10-09 00:00:00"
"100087267","9449010200830056486573","USP","2018-10-09 00:00:00"
"100087268","9449010200882860488618","USP","2018-10-09 00:00:00"
"100087269","9450210200793878945591","USP","2018-10-09 00:00:00"
"100087270","","   ","2018-10-08 00:00:00"
"100087271","","   ","2018-10-08 00:00:00"
"100087272","1Z4248510323448207","UPS","2018-10-09 00:00:00"
"100087273","1Z4248511223445765","UPS","2018-10-08 00:00:00"
"100087274","1Z4248510323448225","UPS","2018-10-09 00:00:00"
"100087275","9449010200882860606357","USP","2018-10-09 00:00:00"
"100087276","","   ","2018-10-08 00:00:00"
"100087277","1Z4248516723447795","UPS","2018-10-09 00:00:00"
"100087278","9449010200793878977615","USP","2018-10-09 00:00:00"
"100087279","9449010200829860194767","USP","2018-10-09 00:00:00"
"100087280","","   ","2018-10-08 00:00:00"
"100087281","9449010200883919719981","USP","2018-10-09 00:00:00"
"100087282","9449010200883919725449","USP","2018-10-09 00:00:00"
"100087283","9449010200881860272746","USP","2018-10-09 00:00:00"
"100087284","9449010200881860277086","USP","2018-10-09 00:00:00"
"100087285","","   ","2018-10-08 00:00:00"
"100087286","1Z4248510323448181","UPS","2018-10-09 00:00:00"
"100087287","9449010200883919724473","USP","2018-10-09 00:00:00"
"100087288","9449010200830057182283","USP","2018-10-09 00:00:00"
"100087289","9449010200882860486881","USP","2018-10-09 00:00:00"
"100087290","9449010200828860437003","USP","2018-10-09 00:00:00"
"100087291","","   ","2018-10-08 00:00:00"
"100087292","1Z4248510323448216","UPS","2018-10-09 00:00:00"
"100087293","9449010200882860490055","USP","2018-10-09 00:00:00"
"100087294","9449010200830057054221","USP","2018-10-09 00:00:00"
"100087295","","   ","2018-10-08 00:00:00"
"100087296","9449010200830057051831","USP","2018-10-09 00:00:00"
"100087297","","   ","2018-10-08 00:00:00"
"100087298","9449010200883919723957","USP","2018-10-09 00:00:00"
"100087299","9449010200829860316541","USP","2018-10-09 00:00:00"
"100087300","9449010200882860608238","USP","2018-10-09 00:00:00"
"100087301","9449010200882860604537","USP","2018-10-09 00:00:00"
"100087302","9449010200881860272296","USP","2018-10-09 00:00:00"
"100087303","9449010200881860412661","USP","2018-10-09 00:00:00"
"100087304","9449010200828860557176","USP","2018-10-09 00:00:00"
"100087305","","   ","2018-10-08 00:00:00"
"100087306","","   ","2018-10-08 00:00:00"
"100087307","9449010200883919931406","USP","2018-10-09 00:00:00"
"100087308","","   ","2018-10-08 00:00:00"
"100087309","","   ","2018-10-08 00:00:00"
"100087310","","   ","2018-10-08 00:00:00"
"100087311","9449010200828860555165","USP","2018-10-09 00:00:00"
"100087312","","   ","2018-10-08 00:00:00"
"100087313","9449010200828860558364","USP","2018-10-09 00:00:00"
"100087314","","   ","2018-10-08 00:00:00"
"100087315","","   ","2018-10-08 00:00:00"
"100087316","1Z4248510323448234","UPS","2018-10-09 00:00:00"
"100087317","9449010200883919848827","USP","2018-10-09 00:00:00"
"100087318","9450210200829860296072","USP","2018-10-09 00:00:00"
"100087319","","   ","2018-10-08 00:00:00"
"100087320","9449010200830057271086","USP","2018-10-09 00:00:00"
"100087321","9449010200883919846908","USP","2018-10-09 00:00:00"
"100087322","","   ","2018-10-08 00:00:00"
"100087323","","   ","2018-10-08 00:00:00"
"100087324","","   ","2018-10-08 00:00:00"
"100087325","9449010200828860557879","USP","2018-10-09 00:00:00"
"100087326","","   ","2018-10-08 00:00:00"
"100087327","","   ","2018-10-08 00:00:00"
"100087328","9449010200828860558807","USP","2018-10-09 00:00:00"
"100087329","9449010200830057169093","USP","2018-10-09 00:00:00"
"100087330","9449010200829860317593","USP","2018-10-09 00:00:00"
"100087331","9449010200882860590182","USP","2018-10-09 00:00:00"
"100087332","9449010200882860474833","USP","2018-10-09 00:00:00"
"100087333","9449010200883919719356","USP","2018-10-09 00:00:00"
"100087334","","   ","2018-10-08 00:00:00"
"100087335","9449010200793879119656","USP","2018-10-09 00:00:00"
"100087336","9449010200883919831140","USP","2018-10-09 00:00:00"
"100087337","9449010200881860396824","USP","2018-10-09 00:00:00"
"100087338","9449010200829860301028","USP","2018-10-09 00:00:00"
"100087339","9449010200829860321880","USP","2018-10-09 00:00:00"
"100087340","9449010200883919844072","USP","2018-10-09 00:00:00"
"100087341","","   ","2018-10-08 00:00:00"
"100087342","","   ","2018-10-08 00:00:00"
"100087343","","   ","2018-10-08 00:00:00"
"100087344","","   ","2018-10-08 00:00:00"
"100087345","","   ","2018-10-08 00:00:00"
"100087346","9449010200830057041139","USP","2018-10-09 00:00:00"
"100087347","9449010200828860559231","USP","2018-10-09 00:00:00"
"100087348","","   ","2018-10-08 00:00:00"
"100087349","9449010200883919842795","USP","2018-10-09 00:00:00"
"100087350","","   ","2018-10-08 00:00:00"
"100087351","9449010200829860313304","USP","2018-10-09 00:00:00"
"100087352","","   ","2018-10-08 00:00:00"
"100087353","","   ","2018-10-08 00:00:00"
"100087354","","   ","2018-10-08 00:00:00"
"100087355","9449010200883919847806","USP","2018-10-09 00:00:00"
"100087356","","   ","2018-10-08 00:00:00"
"100087357","9449010200883919704451","USP","2018-10-09 00:00:00"
"100087358","9449010200882860491137","USP","2018-10-09 00:00:00"
"100087359","","   ","2018-10-08 00:00:00"
"100087360","9450210200883919702815","USP","2018-10-09 00:00:00"
"100087361","9449010200793879116808","USP","2018-10-09 00:00:00"
"100087362","9449010200830057036937","USP","2018-10-09 00:00:00"
"100087363","9449010200828860411690","USP","2018-10-09 00:00:00"
"100087364","","   ","2018-10-08 00:00:00"
"100087365","9449010200829860177814","USP","2018-10-09 00:00:00"
"100087366","","   ","2018-10-08 00:00:00"
"100087367","9449010200883920348675","USP","2018-10-10 00:00:00"
"100087368","9449010200830057717126","USP","2018-10-10 00:00:00"
"100087369","1Z4248510323449304","UPS","2018-10-10 00:00:00"
"100087369","1Z4248510323449297","UPS","2018-10-10 00:00:00"
"100087370","","   ","2018-10-08 00:00:00"
"100087371","9449010200829860776550","USP","2018-10-10 00:00:00"
"100087372","9449010200881860872038","USP","2018-10-10 00:00:00"
"100087373","1Z4248511223447030","UPS","2018-10-09 00:00:00"
"100087374","9449010200881860906443","USP","2018-10-10 00:00:00"
"100087375","","   ","2018-10-08 00:00:00"
"100087376","","   ","2018-10-08 00:00:00"
"100087377","","   ","2018-10-08 00:00:00"
"100087378","","   ","2018-10-08 00:00:00"
"100087379","9449010200828861047188","USP","2018-10-10 00:00:00"
"100087380","","   ","2018-10-08 00:00:00"
"100087381","","   ","2018-10-08 00:00:00"
"100087382","9449010200881860907198","USP","2018-10-10 00:00:00"
"100087383","","   ","2018-10-08 00:00:00"
"100087384","","   ","2018-10-08 00:00:00"
"100087385","","   ","2018-10-08 00:00:00"
"100087386","","   ","2018-10-08 00:00:00"
"100087387","","   ","2018-10-08 00:00:00"
"100087388","","   ","2018-10-08 00:00:00"
"100087389","9449010200828861048680","USP","2018-10-10 00:00:00"
"100087390","","   ","2018-10-08 00:00:00"
"100087391","","   ","2018-10-08 00:00:00"
"100087392","","   ","2018-10-08 00:00:00"
"100087393","9449010200793879642130","USP","2018-10-10 00:00:00"
"100087394","1Z4248510323449948","UPS","2018-10-10 00:00:00"
"100087395","1Z4248510323449831","UPS","2018-10-10 00:00:00"
"100087396","9450210200793879700175","USP","2018-10-10 00:00:00"
"100087397","","   ","2018-10-09 00:00:00"
"100087398","9449010200793879871110","USP","2018-10-10 00:00:00"
"100087399","9449010200828861220956","USP","2018-10-10 00:00:00"
"100087400","","   ","2018-10-09 00:00:00"
"100087401","1Z4248510323449939","UPS","2018-10-10 00:00:00"
"100087402","9449010200882861314299","USP","2018-10-10 00:00:00"
"100087403","","   ","2018-10-09 00:00:00"
"100087404","9449010200883920525250","USP","2018-10-10 00:00:00"
"100087405","9449010200882861318532","USP","2018-10-10 00:00:00"
"100087406","","   ","2018-10-09 00:00:00"
"100087407","","   ","2018-10-09 00:00:00"
"100087408","","   ","2018-10-09 00:00:00"
"100087409","9449010200793879867588","USP","2018-10-10 00:00:00"
"100087410","9449010200793879869605","USP","2018-10-10 00:00:00"
"100087411","","   ","2018-10-09 00:00:00"
"100087412","","   ","2018-10-09 00:00:00"
"100087413","1Z4248510323452514","UPS","2018-10-11 00:00:00"
"100087414","9449010200883920523669","USP","2018-10-10 00:00:00"
"100087415","","   ","2018-10-09 00:00:00"
"100087416","9449010200829860877233","USP","2018-10-10 00:00:00"
"100087417","1Z4248510323452603","UPS","2018-10-11 00:00:00"
"100087418","9449010200881861983115","USP","2018-10-11 00:00:00"
"100087419","9449010200881862060273","USP","2018-10-11 00:00:00"
"100087420","","   ","2018-10-09 00:00:00"
"100087421","","   ","2018-10-09 00:00:00"
"100087422","","   ","2018-10-09 00:00:00"
"100087423","9450210200882862179798","USP","2018-10-11 00:00:00"
"100087424","9449010200829861971749","USP","2018-10-11 00:00:00"
"100087425","","   ","2018-10-09 00:00:00"
"100087426","9449010200881862058737","USP","2018-10-11 00:00:00"
"100087427","","   ","2018-10-09 00:00:00"
"100087428","","   ","2018-10-09 00:00:00"
"100087429","1Z4248510323452489","UPS","2018-10-11 00:00:00"
"100087430","1Z4248511223450062","UPS","2018-10-10 00:00:00"
"100087431","","   ","2018-10-09 00:00:00"
"100087432","1Z4248510323452505","UPS","2018-10-11 00:00:00"
"100087433","","   ","2018-10-09 00:00:00"
"100087434","1Z4248510323452470","UPS","2018-10-11 00:00:00"
"100087435","","   ","2018-10-09 00:00:00"
"100087436","1Z4248510323452498","UPS","2018-10-11 00:00:00"
"100087437","","   ","2018-10-09 00:00:00"
"100087438","1Z4248511223450464","UPS","2018-10-10 00:00:00"
"100087439","9449010200793880854331","USP","2018-10-11 00:00:00"
"100087440","9449010200883921488417","USP","2018-10-11 00:00:00"
"100087441","9449010200793880295837","USP","2018-10-10 00:00:00"
"100087442","9449010200793880297596","USP","2018-10-10 00:00:00"
"100087443","","   ","2018-10-10 00:00:00"
"100087444","","   ","2018-10-10 00:00:00"
"100087445","9449010200882861717786","USP","2018-10-10 00:00:00"
"100087446","","   ","2018-10-10 00:00:00"
"100087447","9449010200881861526398","USP","2018-10-10 00:00:00"
"100087448","9449010200793880637743","USP","2018-10-11 00:00:00"
"100087449","","   ","2018-10-10 00:00:00"
"100087450","9450210200883921320151","USP","2018-10-11 00:00:00"
"100087451","9449010200830058383337","USP","2018-10-10 00:00:00"
"100087452","","   ","2018-10-10 00:00:00"
"100087453","","   ","2018-10-10 00:00:00"
"100087454","","   ","2018-10-10 00:00:00"
"100087455","","   ","2018-10-10 00:00:00"
"100087456","","   ","2018-10-10 00:00:00"
"100087457","9449010200793880857264","USP","2018-10-11 00:00:00"
"100087458","","   ","2018-10-10 00:00:00"
"100087459","9449010200829861972517","USP","2018-10-11 00:00:00"
"100087460","","   ","2018-10-10 00:00:00"
"100087461","9449010200828862161340","USP","2018-10-11 00:00:00"
"100087462","","   ","2018-10-10 00:00:00"
